,bodystyleName,sellerId,customerId,isCpoVehicle,price,listingId,mkId,mkNm,mdId,mdNm,trimId,trimName,modelYearId,modelYear,stkTyp,state,zipcode,link,mileage,priceScore,mileageScore,modelYearScore,totalScore
24,Coupe,436995,98562,FALSE,14994,832711950,20017,Honda,20823,Civic,24309,LX-P,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/832711950/overview/,15768,0.225806452,0.909090909,0.928571429,0.68782293
26,Sedan,464752,185429,FALSE,14405,822001588,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/822001588/overview/,29530,0.290322581,0.818181818,0.928571429,0.679025276
48,Sedan,436131,7822,FALSE,15931,838376076,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838376076/overview/,12931,0.193548387,0.909090909,0.928571429,0.677070242
32,Sedan,465813,186856,TRUE,15750,837059205,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/837059205/overview/,19396,0.193548387,0.909090909,0.928571429,0.677070242
49,Sedan,436131,7822,FALSE,16131,837521606,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837521606/overview/,16009,0.161290323,0.909090909,0.928571429,0.666317553
39,Sedan,465813,186856,TRUE,15980,836784939,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/836784939/overview/,6284,0.161290323,0.909090909,0.928571429,0.666317553
90,Sedan,438634,7555,FALSE,15995,836688050,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836688050/overview/,14277,0.161290323,0.909090909,0.928571429,0.666317553
16,Sedan,439536,7978,FALSE,16732,837046937,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837046937/overview/,16642,0.129032258,0.909090909,0.928571429,0.655564865
62,Sedan,414031,7961,TRUE,16792,838155736,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838155736/overview/,12617,0.129032258,0.909090909,0.928571429,0.655564865
63,Sedan,414031,7961,TRUE,16792,837756812,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837756812/overview/,14701,0.129032258,0.909090909,0.928571429,0.655564865
51,Sedan,436131,7822,FALSE,16531,836335244,20017,Honda,20823,Civic,24369,LX,36362520,2019,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836335244/overview/,23749,0.129032258,0.818181818,1,0.649071359
13,Coupe,2353960,198904,FALSE,16900,836509298,20017,Honda,20823,Civic,24369,LX,36362520,2019,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836509298/overview/,29878,0.129032258,0.818181818,1,0.649071359
31,Sedan,465813,186856,TRUE,15740,837059212,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/837059212/overview/,34850,0.193548387,0.818181818,0.928571429,0.646767211
22,Sedan,436995,98562,FALSE,15599,837073766,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837073766/overview/,31102,0.193548387,0.818181818,0.928571429,0.646767211
50,Sedan,436131,7822,FALSE,15931,838376186,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838376186/overview/,35885,0.193548387,0.818181818,0.928571429,0.646767211
68,Sedan,414031,7961,TRUE,14799,825052462,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/825052462/overview/,31145,0.258064516,0.818181818,0.857142857,0.644463064
72,Sedan,414031,7961,TRUE,14599,822043419,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/822043419/overview/,34536,0.258064516,0.818181818,0.857142857,0.644463064
66,Sedan,414031,7961,TRUE,14699,824673131,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/824673131/overview/,33933,0.258064516,0.818181818,0.857142857,0.644463064
11,Sedan,2353960,198904,FALSE,13870,837835422,20017,Honda,20823,Civic,24369,LX,58487,2016,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837835422/overview/,28258,0.322580645,0.818181818,0.785714286,0.642158916
69,Sedan,414031,7961,TRUE,15991,838470875,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838470875/overview/,38450,0.161290323,0.818181818,0.928571429,0.636014523
27,Sedan,2006060,197641,FALSE,15995,838189253,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/838189253/overview/,23299,0.161290323,0.818181818,0.928571429,0.636014523
97,Sedan,15227167,5243631,FALSE,15333,836754594,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836754594/overview/,35576,0.225806452,0.818181818,0.857142857,0.633710376
34,Sedan,465813,186856,TRUE,14980,837059202,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/837059202/overview/,41736,0.225806452,0.727272727,0.928571429,0.627216869
77,Sedan,30892665,5375583,FALSE,12900,838212017,20017,Honda,20823,Civic,23667,EX,30031936,2017,Used,DE,19146,https://www.cars.com/vehicledetail/detail/838212017/overview/,66265,0.387096774,0.636363636,0.857142857,0.626867756
73,Sedan,440017,7819,FALSE,16903,834288981,20017,Honda,20823,Civic,30038204,EX-T,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/834288981/overview/,27488,0.129032258,0.818181818,0.928571429,0.625261835
59,Sedan,432677,7924,FALSE,16850,836812322,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836812322/overview/,33198,0.129032258,0.818181818,0.928571429,0.625261835
64,Sedan,414031,7961,TRUE,16593,836896681,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836896681/overview/,22389,0.129032258,0.818181818,0.928571429,0.625261835
5,Sedan,431287,7840,FALSE,15490,838587279,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838587279/overview/,29674,0.193548387,0.818181818,0.857142857,0.622957687
6,Sedan,638034,193769,FALSE,15843,837870034,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837870034/overview/,26109,0.193548387,0.818181818,0.857142857,0.622957687
74,Sedan,25760347,5367848,FALSE,15799,838599235,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/838599235/overview/,33513,0.193548387,0.818181818,0.857142857,0.622957687
7,Sedan,426382,7791,TRUE,15885,837521593,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837521593/overview/,23960,0.193548387,0.818181818,0.857142857,0.622957687
21,Sedan,436995,98562,FALSE,13999,835664201,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/835664201/overview/,79997,0.290322581,0.636363636,0.928571429,0.618419215
70,Sedan,414031,7961,TRUE,17393,835612998,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/835612998/overview/,20539,0.096774194,0.818181818,0.928571429,0.614509147
91,Sedan,438634,7555,FALSE,16995,835524190,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/835524190/overview/,20711,0.096774194,0.818181818,0.928571429,0.614509147
33,Sedan,465813,186856,TRUE,17440,836784847,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/836784847/overview/,23554,0.096774194,0.818181818,0.928571429,0.614509147
92,Sedan,422681,7590,FALSE,16993,836293512,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836293512/overview/,22466,0.096774194,0.818181818,0.928571429,0.614509147
65,Sedan,414031,7961,TRUE,17099,829918113,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/829918113/overview/,27076,0.096774194,0.818181818,0.928571429,0.614509147
55,Sedan,422862,7755,FALSE,14800,837175265,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837175265/overview/,41930,0.258064516,0.727272727,0.857142857,0.614160034
35,Sedan,465813,186856,TRUE,15980,838282751,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/838282751/overview/,36445,0.161290323,0.818181818,0.857142857,0.612204999
81,Sedan,451633,153786,FALSE,14997,836981560,20017,Honda,20823,Civic,23667,EX,58487,2016,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836981560/overview/,35466,0.225806452,0.818181818,0.785714286,0.609900852
80,Sedan,415610,8003,FALSE,16297,836882822,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836882822/overview/,41361,0.161290323,0.727272727,0.928571429,0.605711493
61,Sedan,414031,7961,TRUE,17792,837532057,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837532057/overview/,31216,0.064516129,0.818181818,0.928571429,0.603756459
15,Sedan,439536,7978,FALSE,17833,836959309,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836959309/overview/,34639,0.064516129,0.818181818,0.928571429,0.603756459
10,Sedan,638034,193769,FALSE,17468,838610982,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838610982/overview/,24522,0.064516129,0.818181818,0.928571429,0.603756459
53,Sedan,436131,7822,FALSE,17531,838376187,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838376187/overview/,32593,0.064516129,0.818181818,0.928571429,0.603756459
20,Sedan,464752,185429,TRUE,17764,837304430,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/837304430/overview/,24399,0.064516129,0.818181818,0.928571429,0.603756459
25,Sedan,464752,185429,TRUE,17570,836434280,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/836434280/overview/,26935,0.064516129,0.818181818,0.928571429,0.603756459
19,Sedan,436995,98562,TRUE,16691,838631455,20017,Honda,20823,Civic,23667,EX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838631455/overview/,33427,0.129032258,0.818181818,0.857142857,0.601452311
36,Sedan,430655,7828,FALSE,17990,837797213,20017,Honda,20823,Civic,23667,EX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837797213/overview/,14004,0.032258065,0.909090909,0.857142857,0.599497277
28,Coupe,16953190,5254019,FALSE,17998,838557738,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838557738/overview/,13699,0.032258065,0.909090909,0.857142857,0.599497277
12,Sedan,456305,161555,FALSE,15491,838786382,20017,Honda,20823,Civic,23667,EX,58487,2016,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838786382/overview/,38752,0.193548387,0.818181818,0.785714286,0.599148164
0,Sedan,415083,7911,TRUE,16632,836774626,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836774626/overview/,44918,0.129032258,0.727272727,0.928571429,0.594958805
56,Hatchback,426020,111572,FALSE,17995,836187284,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/836187284/overview/,34075,0.032258065,0.818181818,0.928571429,0.59300377
57,Sedan,426020,111572,FALSE,17995,838773005,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/838773005/overview/,21633,0.032258065,0.818181818,0.928571429,0.59300377
17,Sedan,439536,7978,FALSE,17995,836577679,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836577679/overview/,24671,0.032258065,0.818181818,0.928571429,0.59300377
85,Sedan,23824376,5364683,FALSE,15495,836817032,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/836817032/overview/,45762,0.193548387,0.727272727,0.857142857,0.592654657
98,Sedan,15227167,5243631,FALSE,16977,836754827,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836754827/overview/,22166,0.096774194,0.818181818,0.857142857,0.590699623
88,Sedan,434916,90720,FALSE,16993,837057924,20017,Honda,20823,Civic,23667,EX,30031936,2017,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/837057924/overview/,30299,0.096774194,0.818181818,0.857142857,0.590699623
75,Sedan,25760347,5367848,FALSE,14799,838599256,20017,Honda,20823,Civic,24369,LX,58487,2016,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/838599256/overview/,43740,0.258064516,0.727272727,0.785714286,0.59035051
37,Coupe,465813,186856,FALSE,11280,836555486,20017,Honda,20823,Civic,23667,EX,51683,2014,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/836555486/overview/,63332,0.483870968,0.636363636,0.642857143,0.587697249
38,Sedan,465813,186856,FALSE,11380,839004861,20017,Honda,20823,Civic,24369,LX,51683,2014,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/839004861/overview/,69775,0.483870968,0.636363636,0.642857143,0.587697249
96,Sedan,440867,108791,FALSE,11911,837234798,20017,Honda,20823,Civic,24369,LX,47272,2013,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837234798/overview/,41364,0.451612903,0.727272727,0.571428571,0.583438067
23,Coupe,436995,98562,FALSE,10610,838631453,20017,Honda,20823,Civic,23667,EX,39723,2012,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838631453/overview/,40672,0.516129032,0.727272727,0.5,0.58113392
58,Sedan,426020,111572,FALSE,16745,838688575,20017,Honda,20823,Civic,30038204,EX-T,58487,2016,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/838688575/overview/,28243,0.129032258,0.818181818,0.785714286,0.577642787
43,Sedan,465813,186856,FALSE,11480,838282763,20017,Honda,20823,Civic,24369,LX,51683,2014,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/838282763/overview/,60445,0.451612903,0.636363636,0.642857143,0.576944561
54,Sedan,433071,112994,FALSE,10494,837470920,20017,Honda,20823,Civic,24369,LX,47272,2013,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/837470920/overview/,75144,0.516129032,0.636363636,0.571428571,0.574640413
4,Sedan,437314,7767,TRUE,17995,838672578,20017,Honda,20823,Civic,23667,EX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838672578/overview/,30985,0.032258065,0.818181818,0.857142857,0.569194247
76,Sedan,65820565,5392365,FALSE,12995,838648447,20017,Honda,20823,Civic,23667,EX,56007,2015,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838648447/overview/,62371,0.35483871,0.636363636,0.714285714,0.56849602
8,Sedan,435138,4899,FALSE,17414,837871766,20017,Honda,20823,Civic,23667,EX,58487,2016,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/837871766/overview/,30400,0.096774194,0.818181818,0.785714286,0.566890099
41,Coupe,439952,88837,FALSE,8590,837541454,20017,Honda,20823,Civic,23667,EX,39723,2012,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/837541454/overview/,84221,0.64516129,0.545454545,0.5,0.563538612
60,Coupe,43876948,5381380,FALSE,17999,835777854,20017,Honda,20823,Civic,25362,Si,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/835777854/overview/,45455,0.032258065,0.727272727,0.928571429,0.56270074
78,Sedan,58570756,5387210,FALSE,13450,837401558,20017,Honda,20823,Civic,23673,EX-L,58487,2016,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837401558/overview/,99049,0.35483871,0.545454545,0.785714286,0.562002514
95,Sedan,440867,108791,FALSE,10000,837864786,20017,Honda,20823,Civic,23667,EX,39723,2012,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837864786/overview/,69302,0.548387097,0.636363636,0.5,0.561583578
9,Sedan,426382,7791,FALSE,14860,838176830,20017,Honda,20823,Civic,23673,EX-L,58487,2016,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838176830/overview/,77937,0.258064516,0.636363636,0.785714286,0.560047479
14,Sedan,10771113,2492043,FALSE,6495,838920085,20017,Honda,20823,Civic,24369,LX,27381,2010,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838920085/overview/,80032,0.774193548,0.545454545,0.357142857,0.558930317
3,Sedan,29221234,5374510,FALSE,13990,837566124,20017,Honda,20823,Civic,23667,EX,51683,2014,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837566124/overview/,58056,0.290322581,0.727272727,0.642857143,0.55348415
52,Hatchback,4601783,203025,FALSE,16250,837837550,20017,Honda,20823,Civic,25398,Sport,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837837550/overview/,66278,0.161290323,0.636363636,0.857142857,0.551598939
83,Sedan,57280584,5386371,FALSE,12990,838425695,20017,Honda,20823,Civic,23673,EX-L,47272,2013,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/838425695/overview/,59049,0.35483871,0.727272727,0.571428571,0.551180003
2,Sedan,35971373,5378591,FALSE,8995,837147056,20017,Honda,20823,Civic,23667,EX,47272,2013,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837147056/overview/,113000,0.612903226,0.454545455,0.571428571,0.546292417
71,Sedan,414031,7961,FALSE,10491,838187293,20017,Honda,20823,Civic,24369,LX,47272,2013,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838187293/overview/,91196,0.516129032,0.545454545,0.571428571,0.544337383
99,Sedan,18975202,5344404,FALSE,17895,827826664,20017,Honda,20823,Civic,25362,Si,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/827826664/overview/,63164,0.064516129,0.636363636,0.928571429,0.543150398
86,Sedan,23824376,5364683,FALSE,11995,838763423,20017,Honda,20823,Civic,23667,EX,47272,2013,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/838763423/overview/,75999,0.419354839,0.636363636,0.571428571,0.542382349
79,Sedan,28000545,5373040,FALSE,10949,837625806,20017,Honda,20823,Civic,24369,LX,20201,2009,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837625806/overview/,23131,0.516129032,0.818181818,0.285714286,0.540008379
1,Sedan,21908098,5358162,FALSE,17995,837524778,20017,Honda,20823,Civic,23667,EX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837524778/overview/,46268,0.032258065,0.727272727,0.857142857,0.538891216
87,Sedan,23824376,5364683,FALSE,15745,836694379,20017,Honda,20823,Civic,23673,EX-L,58487,2016,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/836694379/overview/,74804,0.193548387,0.636363636,0.785714286,0.538542103
93,Sedan,431964,113276,FALSE,8408,837980310,20017,Honda,20823,Civic,23667,EX,47272,2013,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837980310/overview/,124126,0.677419355,0.363636364,0.571428571,0.537494763
94,Sedan,440867,108791,FALSE,12992,838517366,20017,Honda,20823,Civic,23667,EX,58487,2016,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838517366/overview/,107098,0.35483871,0.454545455,0.785714286,0.531699483
42,Sedan,465813,186856,TRUE,15980,839004848,20017,Honda,20823,Civic,30038204,EX-T,58487,2016,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/839004848/overview/,67283,0.161290323,0.636363636,0.785714286,0.527789415
18,Sedan,23150987,5363555,FALSE,5950,836497401,20017,Honda,20823,Civic,24369,LX,20201,2009,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836497401/overview/,112007,0.838709677,0.454545455,0.285714286,0.526323139
82,Sedan,18896311,5344301,FALSE,9995,837955428,20017,Honda,20823,Civic,23667,EX,47272,2013,Used,DE,19146,https://www.cars.com/vehicledetail/detail/837955428/overview/,100100,0.548387097,0.454545455,0.571428571,0.524787041
45,Sedan,9921862,2362484,FALSE,5990,838408942,20017,Honda,20823,Civic,24369,LX,20201,2009,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838408942/overview/,119622,0.806451613,0.454545455,0.285714286,0.515570451
40,Sedan,2655528,199707,FALSE,8595,838401310,20017,Honda,20823,Civic,23667,EX,51683,2014,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838401310/overview/,174660,0.64516129,0.181818182,0.642857143,0.489945538
29,Sedan,27946666,5372980,FALSE,6494,838056517,20017,Honda,20823,Civic,23673,EX-L,47272,2013,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/838056517/overview/,198062,0.774193548,0.090909091,0.571428571,0.478843737
47,Sedan,5830116,204524,FALSE,7400,836927439,20017,Honda,20823,Civic,23667,EX,20200,2007,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836927439/overview/,84464,0.741935484,0.545454545,0.142857143,0.476749057
46,Sedan,5830116,204524,FALSE,4999,837049790,20017,Honda,20823,Civic,23667,EX,20145,2008,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837049790/overview/,149458,0.870967742,0.272727273,0.214285714,0.452660243
89,Coupe,441296,110459,FALSE,4995,836573777,20017,Honda,20823,Civic,24369,LX,20201,2009,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836573777/overview/,166215,0.870967742,0.181818182,0.285714286,0.446166736
44,Sedan,465813,186856,FALSE,15899,105613773,20017,Honda,20823,Civic,23667,EX,20145,2008,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/105613773/overview/,33318,0.193548387,0.818181818,0.214285714,0.408671973
67,Coupe,414031,7961,FALSE,4992,836559732,20017,Honda,20823,Civic,23667,EX,20200,2007,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836559732/overview/,182439,0.870967742,0.090909091,0.142857143,0.368244659
84,Coupe,440692,111943,FALSE,6995,837895191,20017,Honda,20823,Civic,23667,EX,20200,2007,Used,DE,19146,https://www.cars.com/vehicledetail/detail/837895191/overview/,168745,0.741935484,0.181818182,0.142857143,0.355536936
